씨발련아, 뭐라고 했냐|ABUSE
우리 애가 얼마나 다쳤다고?|IMMORAL_NONE
내가 교육장이랑 잘 아는데|CENSURE
너는 우리 애가 다쳤는데 왜 아무렇지 않냐|CENSURE
선생때문에 내가 오늘 가게 문닫고 애 데리고 병원갔잖아|CENSURE
오늘 매출 니가 보상할거야?|CENSURE
난 잃을 게 없는 사람이야|VIOLENCE
내 자식 위해서는 뭐든지 할 수 있어|VIOLENCE
이 동네에 내가 아는 동생이 얼마나 많은지 알아?|VIOLENCE
나 이미 한번 다녀왔는데|VIOLENCE
내 트렁크에 오함마 들고 다니는데|CRIME
현관 앞에 두고 애한테 문자 한 통 하세요|DISCRIMINATION
평소에도 선생님 무뚝뚝해서 맘에 안들었는데|CENSURE
저는 초등학교 선생은 선생이라고 생각 안해요|CENSURE
생리도 시작한 여자애가 몸가짐을 똑바로 하지 못하고 함부로 행동하는데|DISCRIMINATION
니가 뭔데 우리 애를 의심해|CENSURE
6시까지 교문으로 나와 죽여버릴라니까|CRIME
니가 뭔데 내 싸인을 요구하냐|CENSURE
야근하고 와서 자는 중인데 깨우고 지랄이야|ABUSE
선생님은 중고등가면 아마 힘들어서 못할걸요?|CENSURE
교사가 전화 안 받고 뭐하니|DISCRIMINATION
니가 뭔데 우리 애를 혼내|CENSURE
나 빵에서 나온지 얼마 안됐는데|VIOLENCE
엄마들끼리 선생님 교원평가 최하점 주기로 했어요
월급 받고 하는게 뭐냐|CENSURE
선생이 애들을 어떻게 가르쳤길래|CENSURE
선생님 신문에 나고 싶어요?|VIOLENCE
뭐 저런 게 선생이야|CENSURE
선생님은 교사 자격도 없습니다|CENSURE
너 내가 돈을 안 줘서 그러니?|DISCRIMINATION
우리 아이 상태 일일이 보고하세요|DISCRIMINATION
당장 민원 넣을 테니 그렇게 아세요